shell,n_train_roots,target,candidate_count,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
80,80,fveq2,3126,0.92176384555023,0.29661768428789786,2.7926148265364628,1,4,1199,269,1.0
80,80,fvtp1g,6240,0.8291954511834319,0.26519199313204617,1.867695841803944,257,4,484,1419,0.0
80,80,ixpf,7104,0.8061483490458364,0.3695831517705865,3.647817259124285,23,1,65,769,0.0
80,80,nftru,444,0.9160153396639883,0.4564473789458548,4.843804312851214,3,1,34,116,0.5
80,80,oen0,9282,0.753880304627847,0.17206299415066917,2.6769001692714602,2,4,73,45,0.8
80,80,ofmres,8832,0.8003773334120983,0.06679795987981012,3.877081736444887,6,12,79,1000,0.1
80,80,onxpdisj,6114,0.8653988352798303,0.3455540279480327,2.9539182952926732,2,16,413,543,0.6
80,80,opelidres,4536,0.9085250972817109,0.4668884943321127,2.321560585331632,1,4,420,369,1.0
80,80,pm2.48,516,0.9472552731206058,0.1392053383774429,2.6097378863472454,1,7,86,71,0.7
80,80,rabxm,2682,0.9321742263861988,0.33976958209930036,2.0220305929540525,1,4,396,62,0.8
80,80,rex0,1764,0.9468601045860521,0.29916719578039946,1.8930427107238803,1,2,249,622,0.9
80,80,riotass2,4446,0.8370182177128692,0.26481450765934367,2.6974975095972726,420,2,658,59,0.0
80,80,unab,2328,0.9377052556063344,0.33120274178185977,1.9874054427372871,1,15,119,160,0.9
160,160,dfrn2,3972,0.9067722547256779,0.3850475796730825,4.5228306941429,1,5,60,386,1.0
160,160,disjr,1980,0.9455215794306704,0.4224746553669326,3.2443800839463717,1,1,114,312,1.0
160,160,ecexg,4836,0.8897964398524713,0.3725809838546396,3.41033013355146,1,2,2214,2634,0.9
160,160,elunsn,2058,0.9519281931848125,0.4698492538923676,1.792510976458842,2,1,21,343,0.9
160,160,exmoeu,1302,0.9378028839006987,0.46167742589133504,2.072629158297661,1,7,55,36,0.8
160,160,f1imapss,6294,0.8496614416017434,0.40176135460107787,3.2836977793272,40,5,284,21,0.0
160,160,funoprabg,5802,0.8540872580043183,0.30909991819860766,2.5819485078811457,13,1,439,31,0.0
160,160,fveq2,3126,0.9231807280403476,0.35181819387430685,1.674868465683488,1,4,1408,269,0.9
160,160,fvtp1g,6240,0.8260068417159765,0.23953656510063265,1.8819705878959943,137,4,1251,1419,0.0
160,160,ixpf,7104,0.8058446088613952,0.32611344339580994,2.7283854260087104,205,1,721,769,0.0
160,160,nftru,444,0.9316106647187729,0.4757477314128638,4.974030065082952,2,1,14,116,0.6
160,160,oen0,9282,0.7502860142454169,0.2314373622691608,3.1985098183020786,14,4,259,45,0.0
160,160,ofmres,8832,0.8002400793064746,0.11241617167564961,4.3480291647277,11,12,88,1000,0.0
160,160,onxpdisj,6114,0.8729262751586393,0.3470365795453721,3.317262817733262,1,16,433,543,0.8
160,160,opelidres,4536,0.9104378376865149,0.46989898205507924,2.2861381680878794,1,4,180,369,1.0
160,160,pm2.48,516,0.9463899405083829,0.21419271409804347,2.500169693073106,1,7,88,71,0.8
160,160,rabxm,2682,0.9351750922130634,0.30132700382800953,2.007254241381617,1,4,183,62,0.6
160,160,rex0,1764,0.9493474940996807,0.36022582827999433,1.7612628634632743,1,2,215,622,0.8
160,160,riotass2,4446,0.8344929072395512,0.24865998985280363,2.56018407219191,367,2,426,59,0.0
160,160,unab,2328,0.9388026092039535,0.3522855008284193,2.0265215931824145,1,15,96,160,1.0
MAX,3612,dfrn2,3972,0.9063679137649346,0.36773124316499917,3.7907869379465886,1,5,57,386,1.0
