training_dags,target,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
20,imafi2,0.8400494886660879,0.4160635600003428,1.9211437526005652,1,2,883,1561,1.0
20,naddword2,0.7799809053225739,0.2918109343545474,2.278799824497797,1,2,4082,33,0.9
20,nnawordi,0.8134596336231865,0.3940391045856091,2.7991393971046916,1,2,5,23,1.0
20,rdgsucg,0.8243174019672688,0.2837491709082717,2.716550703945333,6,8,239,1870,0.1
20,naddssim,0.777745510387257,0.28720256608992967,2.6505126151991676,1,6,16,199,0.4
20,onfin,0.8184939515148586,0.35916649693648944,2.6275708768241826,1,3,22,273,1.0
20,oa0,0.8226267275362353,0.2930436435605195,2.2014569833427124,1,8,1027,514,1.0
20,naddass,0.7638257784883123,0.278203847301328,3.203201167707227,10,3,55,60,0.1
20,wfr3g,0.8111243746832411,0.3894445914029426,2.3372990930680744,18,2,334,264,0.0
20,fnsuppeq0,0.8114011127372269,0.36811528398933635,2.387707762828236,12,5,128,137,0.0
20,oecl,0.8014591814884799,0.271686965310633,2.9821390386616624,1,2,339,29,1.0
20,oalim,0.7864727933388656,0.22183176894886952,2.7098210501899556,11,1,914,1158,0.0
20,unxpwdom,0.7902568662709102,0.3335270680756974,2.508674941172848,1,9,148,246,0.3
20,oe0,0.8216843464508586,0.3241843479195424,2.2740254954207493,1,4,971,361,0.9
20,isores3,0.8661013136318161,0.42971782036523254,2.740063036776933,32,14,206,138,0.0
20,f1imacnv,0.8818920340398861,0.4031744693514642,3.072881424115396,1,4,334,127,0.8
20,omxpen,0.7588478528730453,0.25512467454620524,2.8263914460192567,14,1,245,221,0.0
20,nnsdomo,0.8133747588604434,0.34045674994485,2.0944826694182357,1,1,514,5120,0.9
20,oaabs2,0.7700216837324088,0.23140223783228006,3.8145407432244745,17,1,143,46,0.0
20,nnaword1,0.8121132835466536,0.407258706024662,3.196747652801518,1,5,386,1236,1.0
20,nnm2,0.8131746523713186,0.3638067978819575,2.7655233272124136,1,1,188,567,1.0
20,nnesuc,0.8135881639242221,0.32835860571327113,2.3416670824448333,1,4,608,3625,1.0
20,tz6.26,0.8653406413726639,0.37671108753989924,2.909433408782593,1,13,560,1097,0.9
20,rdgsuc,0.8192778923871132,0.27515721909769897,2.5471536744885834,6,2,172,558,0.1
20,unbnn2,0.8005075882510354,0.30868905681715425,2.0596866841122945,5,7,468,249,0.2
