shell,n_train_roots,target,candidate_count,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
640,640,dfrn2,3972,0.9075412327379269,0.35783325913344316,5.810303412093107,1,5,62,386,1.0
640,640,disjr,1980,0.9419990817263545,0.4275667544445967,1.7782579541127237,1,1,67,312,0.8
640,640,ecexg,4836,0.8637701728352493,0.3581581662512983,5.0456726855463465,1,2,1373,2634,0.3
640,640,elunsn,2058,0.9505427160451853,0.4788639304470341,1.8823319907362268,1,1,47,343,0.9
640,640,exmoeu,1302,0.9397693728896346,0.41433434842124234,2.1497204178990295,1,7,25,36,0.5
640,640,f1imapss,6294,0.8439795129230162,0.3783685171018918,2.899196252577186,35,5,264,21,0.0
640,640,funoprabg,5802,0.863444656070171,0.3517418282717817,2.0300008502883706,1,1,244,31,0.9
640,640,fveq2,3126,0.9081859409595454,0.399148386296848,1.718370823235087,1,4,1034,269,0.9
640,640,fvtp1g,6240,0.8157379807692309,0.22349303668773304,1.9873991997685179,232,4,505,1419,0.0
640,640,ixpf,7104,0.8252625804647553,0.31839635809070893,2.8076972518019336,1,1,185,769,0.7
640,640,nftru,444,0.9385500365230094,0.533053098922934,2.6130974034844043,1,1,1,116,0.5
640,640,oen0,9282,0.7322165071939747,0.2657309078937818,3.1228140065464354,1,4,17,45,0.3
640,640,ofmres,8832,0.787100883152174,0.1333634765378292,2.9677195548743307,16,12,355,1000,0.0
640,640,onxpdisj,6114,0.8664289201924957,0.33852524450274346,3.579404824947983,1,16,264,543,0.9
640,640,opelidres,4536,0.9039252120601327,0.5118099172467183,1.904972765819485,1,4,91,369,1.0
640,640,pm2.48,516,0.9471741481882099,0.2176085631755351,2.513456818226001,2,7,96,71,0.7
640,640,rabxm,2682,0.9309380458337714,0.27927143734590715,2.639043734986256,2,4,79,62,0.7
640,640,rex0,1764,0.9502614651302699,0.4097065288089965,1.717412985920895,1,2,113,622,0.6
