shell,target,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
20,f1finf1o,0.826252971692563,0.4049900400643515,2.168145874068446,1,7,155,349,0.9
20,f1opwfi,0.8422819207519205,0.40842292413546,2.2025759701128695,4,3,25,373,0.1
20,fnsuppeq0,0.8131621969050213,0.36811528398933635,2.387707762828236,12,4,174,154,0.0
20,isores3,0.8649424879085489,0.42971782036523254,2.740063036776933,27,5,257,42,0.0
20,naddoa,0.7683626309052409,0.2511370871533121,2.384378067313535,1,1,26,1019,0.3
20,naddss1,0.7837038978322602,0.26188702369706274,2.5239265765619936,1,8,438,1842,0.4
20,naddssim,0.7838710578432274,0.28720256608992967,2.6505126151991676,1,3,32,15,0.3
20,nnaword1,0.8112291601427947,0.407258706024662,3.196747652801518,1,2,309,1499,1.0
20,nnsdomo,0.8200876534746411,0.34045674994485,2.0944826694182357,1,2,570,95,1.0
20,oa0,0.8270222706221344,0.2930436435605195,2.2014569833427124,1,11,928,112,1.0
20,oalim,0.7919798249932226,0.22183176894886952,2.7098210501899556,11,1,915,95,0.0
20,oaword2,0.8058027432302508,0.2419650566413221,2.694065368525337,1,1,653,47,0.9
20,oelim,0.7935169125169043,0.24456586196570865,2.766695805050549,13,7,1383,385,0.0
20,oesuc,0.8075188211300388,0.27726354186157093,3.152887078460833,12,7,2507,5333,0.0
20,onfin,0.8232297639037428,0.35916649693648944,2.6275708768241826,1,2,8,1556,1.0
20,rdgsuc,0.821092937502861,0.27515721909769897,2.5471536744885834,18,2,188,2902,0.0
20,releldmdifi,0.8723183760038798,0.38100444726557237,2.9803395759007105,1,10,29,252,0.9
20,unbnn2,0.8023501249941041,0.30868905681715425,2.0596866841122945,15,4,502,781,0.0
20,wfr3g,0.8109564346696174,0.3894445914029426,2.3372990930680744,17,15,323,117,0.0
40,el2xptp0,0.8644059384651609,0.4560653171607899,2.464281089348831,45,7,86,131,0.0
40,f1finf1o,0.8285275893413968,0.4074733893730935,2.1619562119233287,1,4,230,333,1.0
40,f1opwfi,0.8411926496715756,0.4560124948620847,2.1146284671497555,1,2,16,364,0.9
40,fnsuppeq0,0.8301173452626154,0.4031468556680484,2.3793496595555115,10,2,264,14,0.1
40,isores3,0.8630075597468639,0.43461811427626873,2.688193971898241,22,2,163,21,0.0
40,naddoa,0.7689017094768308,0.2701993225908629,2.0993754811492793,8,2,26,157,0.1
40,naddss1,0.7916452916320631,0.3007691250930012,2.2659559302689725,8,2,682,1406,0.1
40,naddssim,0.7924882972498537,0.28750848978284066,2.464711559860858,10,3,35,149,0.1
40,nnaword1,0.8155317963540283,0.4111190120750683,3.6772358712966278,1,11,371,1253,1.0
40,nnsdomo,0.8179721441486216,0.3309982910914517,2.023138448959298,1,5,155,43,0.5
40,oa0,0.83068318679217,0.31207129651554905,2.20494270451451,1,5,1150,37,1.0
40,oalim,0.8036086915358438,0.2881170581261781,2.6466660524929395,12,10,946,88,0.0
40,oaword2,0.8096943362818977,0.24947894344869845,2.5911526814121504,1,2,759,458,0.6
40,oelim,0.8065292164185709,0.28291904993728223,2.690731598383864,14,7,1002,680,0.0
40,oesuc,0.8117021824922452,0.3268726337541197,2.926018248531998,19,2,1964,4986,0.0
40,onfin,0.8237021157527212,0.33845193202586143,2.476836551356024,1,1,32,823,1.0
40,rdgsuc,0.819988202130542,0.3303679897518319,2.242815095662765,16,1,154,2557,0.0
40,releldmdifi,0.8886337308941732,0.3814948337492921,2.775660420939677,1,8,27,126,1.0
